system   D            wsystem.c:583  maybe_parent_dir                 [   0.02415] Also searching d:\student data\documents\visual studio 2010\Projects\FighterGame\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.02453] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.02457] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.09056] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.27862] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.27866] Allegro version: 5.0.10
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.28004] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.28007] al_display=001F5320
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.28008] al_display->vt=001F1DB0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.30654] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.30657] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30659] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30659] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30661] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30661] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30662] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.30663] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30664] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.30665] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30666] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30667] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30668] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30669] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30670] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.30671] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30672] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.30672] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30674] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30674] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30675] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30676] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30677] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.30678] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30683] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.30684] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30685] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30686] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30687] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30688] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30689] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.30691] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30692] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.30693] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30695] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30696] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30697] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.30698] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30699] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.30700] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.30701] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.30701] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.30702] Score is : 897
